Dispatched,Description,Address,Grid,Report
1/16/2023 7:34,BUILDING CHECK,3000 BLOCK W HILLSBOROUGH AVE,66,22901
1/16/2023 7:31,BUILDING CHECK,2900 BLOCK W HILLSBOROUGH AVE,66,22897
1/16/2023 7:43,CRIMINAL MISCHIEF,1900 BLOCK W PALMETTO ST,114,22898
1/16/2023 7:36,INFORMATION,4100 BLOCK E BUSCH BLVD,32,22902
1/16/2023 7:28,BUILDING CHECK,5100 BLOCK N HABANA AVE,66,22894
1/16/2023 7:34,MISDEMEANOR,5900 BLOCK S DALE MABRY HWY,191,22896
1/16/2023 7:28,BUILDING CHECK,700 BLOCK S DALE MABRY HWY,164,22893
1/16/2023 7:22,VEHICLE STOP/TRAFFIC,1500 BLOCK E FOWLER AVE,5,22890
1/16/2023 7:24,MISDEMEANOR,900 BLOCK W WATERS AVE,26,22891
1/16/2023 7:27,AUTO BURGLARY,300 BLOCK W ALFRED ST,105,22888
1/16/2023 7:17,BUILDING CHECK,6900 BLOCK N NEBRASKA AVE,44,22885
1/16/2023 7:20,SUSPICIOUS VEHICLE,3000 BLOCK SANCHEZ ST,108,22884
1/16/2023 7:13,INFORMATION,1000 BLOCK E DR MARTIN LUTHER KING JR BLVD,83,22883
1/16/2023 7:09,VEHICLE STOP/TRAFFIC,N 26TH ST / E 5TH AVE,129,22881
1/16/2023 7:09,RESID/COMMERIAL ALARM,100 BLOCK ADRIATIC AVE,133,22878
1/16/2023 7:54,TRAFFIC LIGHT OUT,E LINEBAUGH AVE / N FLORIDA AVE,18,22875
1/16/2023 7:03,VEHICLE STOP/TRAFFIC,E FOWLER AVE / N 15TH ST,4,22874
1/16/2023 7:05,MISDEMEANOR,9900 BLOCK N NEBRASKA AVE,20,22876
1/16/2023 7:01,BUILDING CHECK,E KENNEDY BLVD / N MARION ST,144,22873
1/16/2023 6:56,VEHICLE STOP/TRAFFIC,N TAMPA ST / E TYLER ST,140,22870
1/16/2023 6:57,DOMESTIC DISPUTE,N FLORIDA AVE / W HAMILLER AVE,18,22871
1/16/2023 6:46,INFORMATION,11300 BLOCK N 15TH ST,4,22867
1/16/2023 6:42,BUILDING CHECK,300 BLOCK S FRANKLIN ST,144,22866
1/16/2023 6:40,INFORMATION,4700 BLOCK CHRISTA CT,78,22865
1/16/2023 6:38,VEHICLE STOP/TRAFFIC,N FLORIDA AVE / W WATERS AVE,36,22864
1/16/2023 6:35,BUILDING CHECK,N 9TH ST / E WILMA ST,20,22861
1/16/2023 7:32,MISDEMEANOR,3600 BLOCK W HILLSBOROUGH AVE,65,22862
1/16/2023 6:33,NATURE UNKNOWN,2000 BLOCK N MACDILL AVE,121,22857
1/16/2023 6:29,TRAFFIC CRASH,E 7TH AVE / N 25TH ST,129,22855
1/16/2023 6:46,PETTY THEFT,2200 BLOCK W KENNEDY BLVD,160,22853
1/16/2023 6:21,BUILDING CHECK,900 BLOCK E WATERS AVE,29,22851
1/16/2023 6:26,NATURE UNKNOWN,5100 BLOCK N HABANA AVE,66,22852
1/16/2023 6:14,BUILDING CHECK,N MARION ST / E MADISON ST,143,22849
1/16/2023 6:26,RESID/COMMERIAL ALARM,1500 BLOCK W SWANN AVE,161,22847
1/16/2023 6:25,RESID/COMMERIAL ALARM,3600 BLOCK HENDERSON BLVD,165,22845
1/16/2023 6:07,INFORMATION,E COLUMBUS DR / I4,131,22846
1/16/2023 5:54,MISSING PERS/RUNAWAY,2700 BLOCK E COLUMBUS DR,109,22841
1/16/2023 5:58,MISDEMEANOR,100 BLOCK W BOUGAINVILLEA AVE,10,22842
1/16/2023 5:51,RESID/COMMERIAL ALARM,6100 BLOCK ADAMO DR,135,22839
1/16/2023 5:48,NATURE UNKNOWN,1000 BLOCK E CUMBERLAND AVE,145,22837
1/16/2023 5:41,FIRE,5000 BLOCK E PARADE ST,15,22836
1/16/2023 5:39,WIRE DOWN,3200 BLOCK E SHADOWLAWN AVE,74,22834
1/16/2023 5:36,AGG ASSAULT/BATTERY,8400 BLOCK N ARMENIA AVE,25,22832
1/16/2023 6:05,MISDEMEANOR,1900 BLOCK N DALE MABRY HWY,121,22831
1/16/2023 5:37,RESID/COMMERIAL ALARM,200 BLOCK S DALE MABRY HWY,157,22833
1/16/2023 5:22,RESID/COMMERIAL ALARM,2500 BLOCK E HILLSBOROUGH AVE,73,22827
1/16/2023 5:21,NATURE UNKNOWN,9400 BLOCK N 11TH ST,20,22826
1/16/2023 5:18,VEHICLE STOP/TRAFFIC,I275 / I4,116,22825
1/16/2023 5:09,VEHICLE STOP/TRAFFIC,I275 / EXIT 44 I275 N ASHLEY DR,125,22822
1/16/2023 5:11,NATURE UNKNOWN,1300 BLOCK E HILLSBOROUGH AVE,71,22823
1/16/2023 5:10,DISTURBANCE,7400 BLOCK N NEBRASKA AVE,44,22824
1/16/2023 5:05,BUILDING CHECK,5100 BLOCK POINTE OF TAMPA WAY,237,22819
1/16/2023 5:07,DOMESTIC DISPUTE,8400 BLOCK N ARMENIA AVE,25,22821
1/16/2023 5:03,PROJECT,E FOWLER AVE / N 30TH ST,6,22815
1/16/2023 5:06,SUSPICIOUS PERSON,3000 BLOCK N MASSACHUSETTS AVE,105,22820
1/16/2023 5:09,BUILDING CHECK,2300 BLOCK W UNION ST,123,22814
1/16/2023 4:59,BUILDING CHECK,N MARION ST / E TYLER ST,140,22813
1/16/2023 4:48,BUILDING CHECK,N MORGAN ST / SCOTT ST,140,22804
1/16/2023 4:50,RESID/COMMERIAL ALARM,3200 BLOCK E EMMA ST,86,22805
1/16/2023 4:46,BUILDING CHECK,4600 BLOCK W GRAY ST,150,22802
1/16/2023 4:44,MENTALLY ILL PERSON,GRID ONLY,49,22801
1/16/2023 4:39,BUILDING CHECK,4000 BLOCK N ARMENIA AVE,91,22799
1/16/2023 4:55,ASSAULT/BATTERY,4200 BLOCK W HILLSBOROUGH AVE,64,22800
1/16/2023 4:27,NARCOTIC LAW (DRUGS),E 4TH AVE / N 21ST ST,128,22796
1/16/2023 4:25,BUILDING CHECK,18000 BLOCK RICHMOND PLACE DR,242,22794
1/16/2023 4:21,DOMESTIC DISPUTE,1900 BLOCK W UNION ST,123,22792
1/16/2023 4:35,INFORMATION,3300 BLOCK N 15TH ST,107,22793
1/16/2023 4:16,MISDEMEANOR,200 BLOCK W WATERS AVE,36,22791
1/16/2023 4:09,PROJECT,N HIGHLAND AVE / W JEAN ST,50,22790
1/16/2023 4:03,VEHICLE STOP/TRAFFIC,1900 BLOCK N DALE MABRY HWY,120,22788
1/16/2023 4:09,MISDEMEANOR,10900 BLOCK N NEBRASKA AVE,3,22789
1/16/2023 4:04,BUILDING CHECK,7700 BLOCK W COURTNEY CAMPBELL CSWY,117,22786
1/16/2023 4:00,VEHICLE STOP/TRAFFIC,N NEBRASKA AVE / E LINEBAUGH AVE,19,22785
1/16/2023 4:00,SEXUAL BATTERY,GRID ONLY,133,22784
1/16/2023 3:57,VEHICLE STOP/TRAFFIC,E 4TH AVE / N 21ST ST,128,22782
1/16/2023 4:01,SUSPICIOUS PERSON,2700 BLOCK N FREMONT AVE,114,22783
1/16/2023 3:55,VEHICLE STOP/TRAFFIC,BRUCE B DOWNS BLVD / DONA MICHELLE DR,240,22781
1/16/2023 3:55,PROJECT,E 2ND AVE / N 17TH ST,128,22780
1/16/2023 3:52,PROJECT,1600 BLOCK ADAMO DR,128,22779
1/16/2023 3:52,VEHICLE STOP/TRAFFIC,8200 BLOCK N NEBRASKA AVE,38,22778
1/16/2023 3:46,BUILDING CHECK,RICHMOND PLACE DR / TORRINGTON AVE,242,22775
1/16/2023 3:45,VEHICLE STOP/TRAFFIC,1900 BLOCK ADAMO DR,146,22774
1/16/2023 3:43,PROJECT,N FLORIDA AVE / W HAMILTON AVE,43,22772
1/16/2023 3:46,BUILDING CHECK,3600 BLOCK MACHADO ST,98,22773
1/16/2023 3:42,VEHICLE STOP/TRAFFIC,N DALE MABRY HWY / W COLUMBUS DR,120,22771
1/16/2023 3:33,DISTURBANCE,2000 BLOCK OCEANVIEW PL,148,22768
1/16/2023 3:29,DOMESTIC DISPUTE,4700 BLOCK E HILLSBOROUGH AVE,63,22766
1/16/2023 3:22,PROJECT,N NEBRASKA AVE / E WILMA ST,19,22765
1/16/2023 3:22,VEHICLE STOP/TRAFFIC,W SWANN AVE / S ALBANY AVE,166,22763
1/16/2023 3:21,VEHICLE STOP/TRAFFIC,W PLATT ST / S WILLOW AVE,161,22762
1/16/2023 3:43,DISTURBANCE,1200 BLOCK N 15TH ST,127,22764
1/16/2023 3:21,SUSPICIOUS PERSON,18000 BLOCK MALAKAI ISLE DR,254,22761
1/16/2023 3:17,VEHICLE STOP/TRAFFIC,N NEBRASKA AVE / E WILMA ST,19,22760
1/16/2023 3:23,DISTURBANCE,E COLUMBUS DR / N FLORIDA AVE,115,22759
1/16/2023 3:14,PROJECT,N 16TH ST / E 2ND AVE,128,22756
1/16/2023 3:07,PROJECT,N BOULEVARD / W WATERS AVE,35,22753
1/16/2023 3:14,ASSAULT/BATTERY,4000 BLOCK E HILLSBOROUGH AVE,63,22755
1/16/2023 3:03,VEHICLE STOP/TRAFFIC,N HOWARD AVE / W GREEN ST,123,22751
1/16/2023 2:54,VEHICLE STOP/TRAFFIC,S 22ND ST / MARITIME BLVD,148,22750
1/16/2023 3:09,MISDEMEANOR,11500 BLOCK N NEBRASKA AVE,3,22749
1/16/2023 2:50,RESID/COMMERIAL ALARM,4100 BLOCK N 9TH ST,83,22748
1/16/2023 2:46,VEHICLE STOP/TRAFFIC,N HOWARD AVE / W COLUMBUS DR,114,22745
1/16/2023 2:48,ANIMAL NUISANCE,6900 BLOCK N HOWARD AVE,41,22746
1/16/2023 2:48,DISTURBANCE,1700 BLOCK E 7TH AVE,128,22747
1/16/2023 2:42,VEHICLE STOP/TRAFFIC,W PLATT ST / S WILLOW AVE,161,22744
1/16/2023 2:45,MISDEMEANOR,4700 BLOCK W SPRUCE ST,118,22743
1/16/2023 2:37,BUILDING CHECK,W SPRUCE ST / N HIMES AVE,121,22742
1/16/2023 2:37,NATURE UNKNOWN,3400 BLOCK E 31ST AVE,99,22741
1/16/2023 2:35,VEHICLE STOP/TRAFFIC,E 7TH AVE / N TAMPA ST,115,22740
1/16/2023 2:33,ROBBERY,N 16TH ST / E 6TH AVE,128,22739
1/16/2023 2:23,TRAFFIC CRASH,N ARMENIA AVE / W FRIERSON AVE,66,22738
1/16/2023 2:19,RESID/COMMERIAL ALARM,4100 BLOCK N 9TH ST,83,22737
1/16/2023 2:16,PROJECT,1600 BLOCK ADAMO DR,128,22736
1/16/2023 2:44,BUILDING CHECK,2300 BLOCK W UNION ST,123,22735
1/16/2023 2:16,NATURE UNKNOWN,1500 BLOCK N MORGAN ST,125,22734
1/16/2023 2:15,MISDEMEANOR,8300 BLOCK N FLORIDA AVE,36,22733
1/16/2023 2:11,VEHICLE STOP/TRAFFIC,S HYDE PARK AVE / W PLATT ST,162,22732
1/16/2023 2:08,VEHICLE STOP/TRAFFIC,CHANNELSIDE DR / ADAMO DR,142,22731
1/16/2023 2:23,HIT AND RUN,S WESTLAND AVE / W DE LEON ST,160,22730
1/16/2023 2:07,DISTURBANCE,2900 BLOCK W GANDY BLVD,189,22729
1/16/2023 2:05,INFORMATION,2400 BLOCK W MISSISSIPPI AVE,171,22728
1/16/2023 2:01,VEHICLE STOP/TRAFFIC,W GREEN ST / N ARMENIA AVE,122,22726
1/16/2023 2:00,PROJECT,N 16TH ST / E 2ND AVE,128,22725
1/16/2023 1:56,DISTURBANCE,11300 BLOCK AUTUMN CT,6,22724
1/16/2023 1:56,RESID/COMMERIAL ALARM,1400 BLOCK N FLORIDA AVE,125,22723
1/16/2023 1:52,BUILDING CHECK,7500 BLOCK N ARMENIA AVE,41,22721
1/16/2023 1:58,DISTURBANCE,5100 BLOCK S MANHATTAN AVE,187,22720
1/16/2023 3:20,FORGERY/BAD CHECKS,2100 BLOCK W BRISTOL AVE,166,22718
1/16/2023 1:46,BUILDING CHECK,300 BLOCK S PLANT AVE,162,22716
1/16/2023 1:48,STREET OBSTRUCTION,CROSS CREEK BLVD / GRANDE ISLE DR,260,22717
1/16/2023 1:47,DISTURBANCE,900 BLOCK N FRANKLIN ST,140,22715
1/16/2023 1:42,MISDEMEANOR,700 BLOCK N FRANKLIN ST,143,22714
1/16/2023 1:39,ASSAULT/BATTERY,9300 BLOCK N 27TH ST,22,22710
1/16/2023 2:04,FOLLOW UP INVESTIGATION,2700 BLOCK N FREMONT AVE,114,22709
1/16/2023 1:32,BUILDING CHECK,7700 BLOCK W COURTNEY CAMPBELL CSWY,117,22707
1/16/2023 1:30,PROJECT,E SLIGH AVE / N 22ND ST,53,22706
1/16/2023 1:27,MENTALLY ILL PERSON,GRID ONLY,133,22702
1/16/2023 1:33,DISTURBANCE,3600 BLOCK N 18TH ST,97,22701
1/16/2023 1:29,SUSPICIOUS PERSON,17300 BLOCK DONA MICHELLE DR,250,22704
1/16/2023 1:25,INFORMATION,300 BLOCK S WEST SHORE BLVD,156,22697
1/16/2023 1:26,BURG OF A STRUCTURE,2700 BLOCK N FREMONT AVE,114,22698
1/16/2023 1:17,PROJECT,E CLIFTON ST / N NEBRASKA AVE,58,22693
1/16/2023 1:15,VEHICLE STOP/TRAFFIC,DAVIS ISLAND BRIDGE / BAYSHORE BLVD,133,22692
1/16/2023 1:19,MENTALLY ILL PERSON,GRID ONLY,48,22694
1/16/2023 1:14,VEHICLE STOP/TRAFFIC,W GREEN ST / N ARMENIA AVE,122,22691
1/16/2023 1:14,MISDEMEANOR,200 BLOCK E MADISON ST,143,22690
1/16/2023 1:13,VEHICLE STOP/TRAFFIC,W PLATT ST / S DAKOTA AVE,161,22689
1/16/2023 1:11,MISDEMEANOR,200 BLOCK E MADISON ST,143,22688
1/16/2023 1:40,DISTURBANCE,100 BLOCK E CASS ST,140,22713
1/16/2023 1:10,MISDEMEANOR,200 BLOCK E MADISON ST,143,22687
1/16/2023 1:08,VEHICLE STOP/TRAFFIC,N ROME AVE / W NORTH B ST,154,22686
1/16/2023 1:17,RESID/COMMERIAL ALARM,5100 BLOCK N NEBRASKA AVE,71,22685
1/16/2023 1:06,BUILDING CHECK,W KENNEDY BLVD / N MACDILL AVE,158,22684
1/16/2023 1:04,PROJECT,N FLORIDA AVE / W HANNA AVE,57,22683
1/16/2023 1:03,BUILDING CHECK,300 BLOCK E DAVIS BLVD,133,22682
1/16/2023 0:58,PROJECT,N FLORIDA AVE / W WATERS AVE,36,22678
1/16/2023 1:23,MISDEMEANOR,600 BLOCK E POLK ST,143,22680
1/16/2023 1:02,MISDEMEANOR,2900 BLOCK MELBURNE BLVD,111,22677
1/16/2023 0:53,PROJECT,E KIRBY ST / N FLORIDA AVE,43,22676
1/16/2023 0:51,BUILDING CHECK,FENWICK AVE / RICHMOND PLACE DR,242,22675
1/16/2023 0:46,INFORMATION,4200 BLOCK W KENNEDY BLVD,150,22673
1/16/2023 0:46,MISSING PERS/RUNAWAY,9300 BLOCK N 30TH ST,22,22672
1/16/2023 0:45,DISTURBANCE,2900 BLOCK N 25TH ST,109,22670
1/16/2023 0:58,DISTURBANCE,4200 BLOCK N COOLIDGE AVE,89,22674
1/16/2023 0:44,VEHICLE STOP/TRAFFIC,W KENNEDY BLVD / S WARD ST,149,22667
1/16/2023 0:38,VEHICLE STOP/TRAFFIC,CAUSEWAY BLVD / S 22ND ST,148,22664
1/16/2023 0:49,DISTURBANCE,500 BLOCK CHANNELSIDE DR,145,22668
1/16/2023 0:38,DISTURBANCE,10900 BLOCK N 28TH ST,6,22663
1/16/2023 0:45,DISTURBANCE,5100 BLOCK S MANHATTAN AVE,187,22662
1/16/2023 0:34,MENTALLY ILL PERSON,GRID ONLY,160,22660
1/16/2023 0:30,VEHICLE STOP/TRAFFIC,W CLEVELAND ST / S OREGON AVE,161,22659
1/16/2023 0:29,BUILDING CHECK,8300 BLOCK GALBRAITH RD,242,22658
1/16/2023 0:58,DISTURBANCE,2200 BLOCK E 18TH AVE,109,22661
1/16/2023 0:26,PROJECT,900 BLOCK E HILLSBOROUGH AVE,59,22656
1/16/2023 0:26,SUSPICIOUS PERSON,3000 BLOCK N 48TH ST,111,22655
1/16/2023 0:20,BUILDING CHECK,BAYSHORE BLVD / DAVIS ISLAND BRIDGE,133,22652
1/16/2023 0:28,MISDEMEANOR,1900 BLOCK N DALE MABRY HWY,121,22653
1/16/2023 0:15,PROJECT,E IDLEWILD AVE / N BRANCH AVE,58,22650
1/16/2023 0:20,INFORMATION,4900 BLOCK W GANDY BLVD,183,22651
1/16/2023 0:14,VEHICLE STOP/TRAFFIC,W HILLSBOROUGH AVE / N GOMEZ AVE,66,22648
1/16/2023 0:12,VEHICLE STOP/TRAFFIC,E DR MARTIN LUTHER KING JR BLVD / N 22ND ST,97,22646
1/16/2023 0:57,MISDEMEANOR,300 BLOCK WESTSHORE PLZ,149,22647
1/16/2023 0:09,VEHICLE STOP/TRAFFIC,E 5TH AVE / N 17TH ST,128,22644
1/16/2023 0:08,BUILDING CHECK,2800 BLOCK SATELLITE CT,124,22642
1/16/2023 0:10,RESID/COMMERIAL ALARM,2600 BLOCK W SAINT CONRAD ST,113,22645
1/16/2023 0:11,NATURE UNKNOWN,2900 BLOCK N 17TH ST,108,22643
1/16/2023 0:07,BUILDING CHECK,4600 BLOCK W GRAY ST,150,22641
1/16/2023 0:06,BUILDING CHECK,500 BLOCK N HOWARD AVE,154,22639
1/16/2023 0:10,INFORMATION,I275 / EXIT 47 I275 W HILLSBOROUGH AVE,70,22637
1/16/2023 0:02,BUILDING CHECK,N HIMES AVE / W DR MARTIN LUTHER KING JR BLVD,90,22636
1/16/2023 0:16,DISTURBANCE,4700 BLOCK N FREMONT AVE,79,22635
1/15/2023 23:58,INFORMATION,5500 BLOCK N HIMES AVE,65,22634
1/15/2023 23:55,TRAFFIC CRASH,900 BLOCK E SCOTT DR,142,22633
1/15/2023 23:51,VEHICLE STOP/TRAFFIC,W KENNEDY BLVD / N TRASK ST,156,22631
1/15/2023 23:52,SUSPICIOUS PERSON,600 BLOCK N FRANKLIN ST,143,22632
1/15/2023 0:01,TRAFFIC CRASH,700 BLOCK SCOTT ST,140,22630
1/15/2023 23:48,BUILDING CHECK,700 BLOCK S DALE MABRY HWY,164,22628
1/15/2023 23:50,RESID/COMMERIAL ALARM,300 BLOCK N WEST SHORE BLVD,150,22626
1/15/2023 23:55,DISTURBANCE,N NEBRASKA AVE / E OSBORNE AVE,82,22624
1/15/2023 23:45,VEHICLE STOP/TRAFFIC,W KENNEDY BLVD / N GOMEZ AVE,159,22623
1/15/2023 23:49,DISTURBANCE,500 BLOCK S HOWARD AVE,160,22625
1/15/2023 23:53,ABANDONED VEHICLE,E HILLSBOROUGH AVE / N 11TH ST,71,22627
1/15/2023 23:44,RESID/COMMERIAL ALARM,1300 BLOCK W HAMILTON AVE,42,22622
1/15/2023 23:44,RESID/COMMERIAL ALARM,5000 BLOCK E FOWLER AVE,8,22621
1/15/2023 23:41,VEHICLE STOP/TRAFFIC,N 22ND ST / E FOWLER AVE,5,22620
1/15/2023 23:42,RECKLESS DRIVING,3100 BLOCK W LAWN AVE,185,22619
1/15/2023 23:38,VEHICLE STOP/TRAFFIC,E PALM AVE / N NEBRASKA AVE,126,22617
1/15/2023 23:36,BUILDING CHECK,1500 BLOCK N DALE MABRY HWY,120,22616
1/15/2023 23:41,DOMESTIC DISPUTE,3200 BLOCK N 46TH ST,111,22618
1/15/2023 23:36,INFORMATION,6400 BLOCK S ADELIA AVE,196,22614
1/15/2023 23:31,BUILDING CHECK,1700 BLOCK N DALE MABRY HWY,120,22611
1/15/2023 23:29,VEHICLE STOP/TRAFFIC,W CLEVELAND ST / S MELVILLE AVE,160,22608
1/15/2023 23:27,VEHICLE STOP/TRAFFIC,S ALBANY AVE / W SWANN AVE,166,22607
1/15/2023 23:26,VEHICLE STOP/TRAFFIC,E PALM AVE / N 22ND ST,128,22604
1/15/2023 23:35,BURG OF A STRUCTURE,8700 BLOCK N PAWNEE AVE,33,22613
1/15/2023 23:27,MISDEMEANOR,11500 BLOCK N 30TH ST,6,22605
1/15/2023 23:33,INFORMATION,1300 BLOCK E BUSCH BLVD,20,22606
1/15/2023 23:24,VEHICLE STOP/TRAFFIC,N 34TH ST / E EMMA ST,86,22603
1/15/2023 23:23,MENTALLY ILL PERSON,GRID ONLY,39,22600
1/15/2023 23:21,BUILDING CHECK,2200 BLOCK E HENRY AVE,61,22599
1/15/2023 23:24,ASSAULT/BATTERY,3600 BLOCK N 50TH ST,100,22601
1/15/2023 23:19,JUVENILE CURFEW LAW,2900 BLOCK E 29TH AVE,98,22598
1/15/2023 23:18,JUVENILE CURFEW LAW,1900 BLOCK N MITCHELL AVE,126,22597
1/15/2023 23:14,JUVENILE CURFEW LAW,300 BLOCK E OHIO AVE,95,22593
1/15/2023 23:11,VEHICLE STOP/TRAFFIC,SELMON EXPY / W GANDY BLVD,184,22590
1/15/2023 23:13,NATURE UNKNOWN,2500 BLOCK N 50TH ST,131,22592
1/15/2023 23:13,DOMESTIC DISPUTE,800 BLOCK N HABANA AVE,137,22591
1/15/2023 23:10,VEHICLE STOP/TRAFFIC,S ROME AVE / W SWANN AVE,167,22589
1/15/2023 23:08,INFORMATION,400 BLOCK S HOWARD AVE,160,22587
1/15/2023 23:14,CRIMINAL MISCHIEF,1600 BLOCK E 7TH AVE,128,22588
1/15/2023 23:09,DISTURBANCE,5100 BLOCK N BRANCH AVE,70,22586
1/15/2023 23:05,BUILDING CHECK,4600 BLOCK W GRAY ST,150,22585
1/15/2023 23:05,BUILDING CHECK,W CYPRESS ST / N DALE MABRY HWY,151,22584
1/15/2023 23:03,BUILDING CHECK,5800 BLOCK N 30TH ST,61,22581
1/15/2023 23:14,INFORMATION,1600 BLOCK E 7TH AVE,128,22583
1/15/2023 23:01,VEHICLE STOP/TRAFFIC,W KENNEDY BLVD / N HABANA AVE,159,22579
1/15/2023 23:01,VEHICLE STOP/TRAFFIC,E 5TH AVE / N 19TH ST,128,22578
1/15/2023 23:02,DOMESTIC DISPUTE,8200 BLOCK N MARKS ST,39,22577
1/15/2023 22:58,VEHICLE STOP/TRAFFIC,SELMON EXPY / W EUCLID AVE,178,22575
1/15/2023 22:57,VEHICLE STOP/TRAFFIC,4200 BLOCK W KENNEDY BLVD,150,22573
1/15/2023 22:57,VEHICLE STOP/TRAFFIC,N 34TH ST / E BUSCH BLVD,31,22572
1/15/2023 22:59,DOMESTIC DISPUTE,2500 BLOCK N TAMPA ST,115,22571
1/15/2023 22:55,DISTURBANCE,N 29TH ST / E OSBORNE AVE,85,22568
1/15/2023 23:01,PETTY THEFT,2500 BLOCK E BUSCH BLVD,22,22570
1/15/2023 22:54,FELONY,900 BLOCK N CENTRAL AVE,141,22566
1/15/2023 22:53,INFORMATION,1000 BLOCK E CASS ST,141,22565
1/15/2023 23:11,INFORMATION,200 BLOCK N LINCOLN AVE,152,22567
1/15/2023 22:52,VEHICLE STOP/TRAFFIC,ANGEL OLIVA SENIOR ST / E 7TH AVE,128,22562
1/15/2023 22:47,PROJECT,1600 BLOCK ADAMO DR,128,22559
1/15/2023 22:50,MISDEMEANOR,900 BLOCK E HILLSBOROUGH AVE,59,22560
1/15/2023 22:43,BUILDING CHECK,11100 BLOCK N 46TH ST,8,22556
1/15/2023 22:44,MENTALLY ILL PERSON,GRID ONLY,45,22555
1/15/2023 22:58,NATURE UNKNOWN,2400 BLOCK W PROSPECT RD,171,22554
1/15/2023 22:40,VEHICLE STOP/TRAFFIC,N 15TH ST / E 8TH AVE,127,22552
1/15/2023 0:08,DOMESTIC DISPUTE,18900 BLOCK BELLFLOWER RD,243,22553
1/15/2023 22:40,VEHICLE STOP/TRAFFIC,S ROME AVE / W PLATT ST,160,22551
1/15/2023 22:50,NATURE UNKNOWN,1300 BLOCK E 33RD AVE,96,22549
1/15/2023 22:39,VEHICLE STOP/TRAFFIC,SELMON EXPY / W EUCLID AVE,178,22548
1/15/2023 22:37,STOLEN VEHICLE,2500 BLOCK N DALE MABRY HWY,120,22546
1/15/2023 22:54,DISTURBANCE,15300 BLOCK AMBERLY DR,222,22545
1/15/2023 22:35,JUVENILE CURFEW LAW,1100 BLOCK RAY CHARLES BLVD,141,22542
1/15/2023 22:34,INFORMATION,7300 BLOCK E BANK DR,55,22540
1/15/2023 22:34,VEHICLE STOP/TRAFFIC,N 38TH ST / E DR MARTIN LUTHER KING JR BLVD,99,22538
1/15/2023 22:56,MISDEMEANOR,900 BLOCK E 20TH AVE,107,22541
1/15/2023 22:36,DISTURBANCE,100 BLOCK S DALE MABRY HWY,158,22543
1/15/2023 22:31,VEHICLE STOP/TRAFFIC,E 26TH AVE / N 34TH ST,110,22534
1/15/2023 23:15,MENTALLY ILL PERSON,GRID ONLY,106,22536
1/15/2023 22:23,BUILDING CHECK,1700 BLOCK MCCLOSKY BLVD,148,22532
1/15/2023 22:23,BUILDING CHECK,N HIMES AVE / W SPRUCE ST,121,22531
1/15/2023 22:21,VEHICLE STOP/TRAFFIC,W GREEN ST / N ARMENIA AVE,122,22530
1/15/2023 22:20,VEHICLE STOP/TRAFFIC,N TAMPA ST / E JACKSON ST,144,22528
1/15/2023 22:19,BUILDING CHECK,4500 BLOCK N HIMES AVE,78,22525
1/15/2023 22:19,VEHICLE STOP/TRAFFIC,N HOWARD AVE / W GREEN ST,123,22523
1/15/2023 22:25,RESID/COMMERIAL ALARM,4500 BLOCK N ARMENIA AVE,79,22529
1/15/2023 22:25,NATURE UNKNOWN,200 BLOCK N 11TH ST,145,22522
1/15/2023 22:36,FOLLOW UP INVESTIGATION,8400 BLOCK N 15TH ST,29,22527
1/15/2023 22:22,SUSPICIOUS PERSON,N 15TH ST / E FOWLER AVE,4,22521
1/15/2023 22:42,DISTURBANCE,8600 BLOCK N DIXON AVE,28,22519
1/15/2023 22:15,DOMESTIC DISPUTE,2300 BLOCK E OSBORNE AVE,85,22516
1/15/2023 22:11,VEHICLE STOP/TRAFFIC,CAUSEWAY BLVD / S 22ND ST,148,22514
1/15/2023 22:10,VEHICLE STOP/TRAFFIC,N 39TH ST / E CHELSEA ST,86,22512
1/15/2023 22:10,PROJECT,E MOHAWK AVE / N CHEROKEE AVE,58,22511
1/15/2023 23:06,DISTURBANCE,2900 BLOCK W ROGERS AVE,189,22513
1/15/2023 22:34,NATURE UNKNOWN,800 BLOCK W WATERS AVE,36,22518
1/15/2023 22:12,NATURE UNKNOWN,900 BLOCK N ASHLEY DR,140,22510
1/15/2023 22:08,PROJECT,N NEBRASKA AVE / E NORFOLK ST,44,22509
1/15/2023 22:08,RESID/COMMERIAL ALARM,3900 BLOCK W HILLSBOROUGH AVE,64,22507
1/15/2023 22:12,DOMESTIC DISPUTE,8400 BLOCK N 18TH ST,30,22508
1/15/2023 22:05,BUILDING CHECK,4000 BLOCK N ARMENIA AVE,91,22502
1/15/2023 22:08,RESID/COMMERIAL ALARM,3800 BLOCK W GANDY BLVD,184,22505
1/15/2023 22:07,NATURE UNKNOWN,3900 BLOCK E 21ST AVE,110,22503
1/15/2023 22:08,BUILDING CHECK,E WILDER AVE / N 37TH ST,74,22499
1/15/2023 22:15,LOST/FOUND PROPERTY,2600 BLOCK E HILLSBOROUGH AVE,61,22506
1/15/2023 22:14,MENTALLY ILL PERSON,GRID ONLY,36,22504
1/15/2023 22:29,DISTURBANCE,3000 BLOCK CORD ST,111,22498
1/15/2023 22:00,VEHICLE STOP/TRAFFIC,I4 / E COLUMBUS DR,131,22497
1/15/2023 21:59,VEHICLE STOP/TRAFFIC,N 32ND ST / E ELLICOTT ST,74,22496
1/15/2023 22:00,SUSPICIOUS PERSON,500 BLOCK S FREMONT AVE,160,22495
