Dispatched,Description,Address,Grid,Report
1/17/2023 13:29,LOST/FOUND PROPERTY,N 15TH ST / E DR MARTIN LUTHER KING JR BLVD,96,24476
1/17/2023 13:23,BUILDING CHECK,E WATERS AVE / I275,37,24474
1/17/2023 14:27,MISSING PERS/RUNAWAY,10100 BLOCK N ASTER AVE,12,24475
1/17/2023 13:24,TRAFFIC CRASH,N FLORIDA AVE / E VIRGINIA AVE,94,24472
1/17/2023 13:19,INFORMATION,4200 BLOCK DELEUIL AVE,63,24471
1/17/2023 13:19,BUILDING CHECK,1700 BLOCK S MANHATTAN AVE,169,24470
1/17/2023 13:27,MISDEMEANOR,4500 BLOCK S MANHATTAN AVE,183,24469
1/17/2023 13:40,MENTALLY ILL PERSON,GRID ONLY,135,24468
1/17/2023 13:38,DISTURBANCE,5000 BLOCK N 29TH ST,73,24467
1/17/2023 13:12,BUILDING CHECK,N 22ND ST / E HENRY AVE,60,24464
1/17/2023 14:24,MISDEMEANOR,5800 BLOCK N 19TH ST,60,24465
1/17/2023 13:17,MISDEMEANOR,3900 BLOCK W PAXTON AVE,187,24466
1/17/2023 13:06,BUILDING CHECK,E WATERS AVE / N FLORIDA AVE,36,24462
1/17/2023 13:04,PETTY THEFT,3300 BLOCK W GANDY BLVD,188,24460
1/17/2023 13:15,INFORMATION,4700 BLOCK N HABANA AVE,78,24463
1/17/2023 13:04,MISSING PERS/RUNAWAY,4100 BLOCK W NASSAU ST,120,24456
1/17/2023 12:56,BUILDING CHECK,2700 BLOCK N 46TH ST,111,24452
1/17/2023 15:23,POLICE SERVICE CALL,1900 BLOCK W KIRBY ST,41,24454
1/17/2023 12:59,TRAFFIC CRASH,W CLIFTON ST / N ALBANY AVE,56,24451
1/17/2023 12:55,MISDEMEANOR,N TAMPA ST / I275,125,24450
1/17/2023 13:02,NATURE UNKNOWN,2900 BLOCK W CREST AVE,66,24453
1/17/2023 12:50,INFORMATION,500 BLOCK N HOWARD AVE,154,24449
1/17/2023 13:36,POLICE SERVICE CALL,7200 BLOCK S KISSIMMEE ST,194,24444
1/17/2023 12:41,ASSAULT/BATTERY,1100 BLOCK N 22ND ST,147,24441
1/17/2023 12:35,INFORMATION,E KENNEDY BLVD / N 12TH ST,145,24440
1/17/2023 13:28,DOMESTIC DISPUTE,10600 BLOCK N 26TH ST,14,24443
1/17/2023 12:39,NATURE UNKNOWN,18000 BLOCK HIGHWOODS PRESERVE PKWY,240,24438
1/17/2023 12:37,TRAFFIC CRASH,BRUCE B DOWNS BLVD / AMBERLY DR,230,24434
1/17/2023 12:38,TRAFFIC CRASH,BRUCE B DOWNS BLVD / TAMPA PALMS BLVD W,225,24432
1/17/2023 12:39,NATURE UNKNOWN,2700 BLOCK BAYSHORE BLVD,171,24433
1/17/2023 12:27,VEHICLE STOP/TRAFFIC,7500 BLOCK ADAMO DR,135,24428
1/17/2023 12:28,INFORMATION,E KENNEDY BLVD / CHANNELSIDE DR,145,24426
1/17/2023 12:36,DISTURBANCE,400 BLOCK E 7TH AVE,116,24425
1/17/2023 12:25,ASSAULT/BATTERY,3200 BLOCK E 11TH AVE,130,24424
1/17/2023 12:19,MISSING PERS/RUNAWAY,2300 BLOCK W FIG ST,154,24423
1/17/2023 12:18,INFORMATION,4000 BLOCK E GROVE ST,63,24422
1/17/2023 12:14,INFORMATION,17400 BLOCK COMMERCE PARK BLVD,238,24418
1/17/2023 12:18,TRAFFIC CRASH,600 BLOCK CHANNELSIDE DR,145,24419
1/17/2023 12:19,RESID/COMMERIAL ALARM,16200 BLOCK MONTEREY GREENS CIR,261,24416
1/17/2023 12:07,LOST/FOUND PROPERTY,1500 BLOCK N DALE MABRY HWY,121,24410
1/17/2023 13:04,RESID/COMMERIAL ALARM,8300 BLOCK N ORANGEVIEW AVE,40,24414
1/17/2023 13:01,SUSPICIOUS VEHICLE,3500 BLOCK CLAY ST,99,24412
1/17/2023 12:09,TRAFFIC CRASH,N NEBRASKA AVE / E 19TH AVE,106,24409
